"term","estimate","OR","lower","upper","p"
"(Intercept)",-1.20826753531265,0.298714343454616,0.171318022465064,0.504566920411431,0.00000347699522174061
"Phase_fPHASE2/PHASE3",0.826462747457416,2.28522102299804,0.868932828821916,6.17340864200089,0.093388885633125
"Phase_fPHASE3",0.581007462014087,1.7878387033256,1.02710693564804,3.13248273279928,0.0399187493948695
"Sponsor_fAcademic/Investigator-Initiated",0.567228045513545,1.76337228281935,1.01846823652174,3.095552591941,0.0427818982114183
"Sponsor_fGovernment/Cooperative Group",0.486558837193555,1.62670880763367,0.73467750294028,3.57194427506208,0.227777904918163
"Year_c",0.044620843973934,1.04563132732081,1.0102554001909,1.08339468326044,0.010841312606041
"Radiation",0.122357877915695,1.13015848817968,0.684810895099284,1.86084657135952,0.630986934873873
"Registry_fInternational",0.702224395896465,2.01823707638634,0.465360874324621,9.54299975113976,0.342618158336289
