"Sponsor","probability","lower","upper"
"Industry",0.0726083400694524,0.0244710795722103,0.120745600566694
"Academic/Investigator-Initiated",0.179787186818,0.119646530144585,0.239927843491414
"Government/Cooperative Group",0.207341698405705,0.083017141535483,0.331666255275928
