"Sponsor_f","k","n","percent","ci_lower","ci_upper"
"Industry",7,101,6.93069306930693,3.39753277703107,13.6200278534516
"Academic/Investigator-Initiated",25,145,17.2413793103448,11.9597718847333,24.2139254488541
"Government/Cooperative Group",7,43,16.2790697674419,8.11662734706201,29.9724058937472
