"NCT","Brief_Title","Year","Phase","Sponsor_Class","Registry_Source","Status","Enrollment","Modality","Radiation","Strict_GBM_Only","Pediatric_title","NCO","NCO_strict","NCO_Designation","NCO_Instruments","HRQoL","HRQoL_Designation","HRQoL_Instruments"
"NCT02465268","Vaccine Therapy for the Treatment of Newly Diagnosed Glioblastoma Multiforme",2016,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",175,"Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00941460","Comparison of Two Dosing Regimens of Temozolomide in Patients With Progressive or Recurrent Glioblastoma",2009,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",105,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00224978","Chloroquine for Treatment of Glioblastoma Multiforme",2005,"PHASE3","Academic/Investigator-Initiated","US","COMPLETED",,"Other / Investigational",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT07452458","Temporally-Modulated Pulsed Radiation Therapy Versus Standard Radiation Therapy for the Treatment of Newly Diagnosed, IDH Wildtype, MGMT-Unmethylated Glioblastoma",2026,"PHASE3","Academic/Investigator-Initiated","US","NOT_YET_RECRUITING",398,"Radiation",1,"Yes",FALSE,1,1,"Primary","controlled oral word; hopkins verbal; hvlt; hvlt-r; tmt; trail making",1,"Secondary","fact-br; functional assessment of cancer therapy; quality of life"
"NCT05669820","Antisecretory Factor Glioblastoma Phase 2",2024,"PHASE2/PHASE3","Academic/Investigator-Initiated","US","RECRUITING",300,"Other / Investigational",0,"Yes",FALSE,1,1,"Exploratory","moca; montreal cognitive",1,"Exploratory","bn20; eortc; quality of life"
"NCT00003564","Procarbazine and Isotretinoin in Treating Patients With Recurrent Primary Malignant Gliomas",1999,"PHASE3","Academic/Investigator-Initiated","US","WITHDRAWN",,"Cytotoxic Chemotherapy",0,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT06419946","Lomustine in Addition to Standard of Care in Patients With MGMT Methylated Glioblastoma",2025,"PHASE3","Government/Cooperative Group","US","RECRUITING",200,"Cytotoxic Chemotherapy; Tumor Treating Fields",0,"Yes",FALSE,1,1,"Secondary","Domain named, tool unspecified; finger tapping; stroop; symbol digit",1,"Secondary","eortc; quality of life"
"NCT00379470","Effect of NovoTTF-100A in Recurrent Glioblastoma Multiforme (GBM)",2006,"PHASE3","Industry","US","COMPLETED",236,"Tumor Treating Fields",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","eortc; qlq-c30; quality of life"
"NCT02017717","A Study of the Effectiveness and Safety of Nivolumab Compared to Bevacizumab and of Nivolumab With or Without Ipilimumab in Glioblastoma Patients",2014,"PHASE3","Industry","US","COMPLETED",529,"Targeted / Small Molecule; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT03345095","A Phase III Trial of With Marizomib in Patients With Newly Diagnosed Glioblastoma",2018,"PHASE3","Government/Cooperative Group","US","COMPLETED",749,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"Yes",FALSE,1,1,"Secondary","mini mental; mmse",1,"Secondary","eortc; health-related quality; hrqol; qlq-c30; quality of life"
