"NCT","Brief_Title","Year","Phase","Sponsor_Class","Registry_Source","Status","Enrollment","Modality","Radiation","Strict_GBM_Only","Pediatric_title","NCO","NCO_strict","NCO_Designation","NCO_Instruments","HRQoL","HRQoL_Designation","HRQoL_Instruments"
"NCT00112866","Cilengitide in Treating Patients Who Are Undergoing Surgery for Recurrent or Progressive Glioblastoma Multiforme",2005,"PHASE2","Government/Cooperative Group","US","TERMINATED",30,"Surgical; Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02678975","Disulfiram in Recurrent Glioblastoma",2017,"PHASE2/PHASE3","Academic/Investigator-Initiated","US","COMPLETED",88,"Other / Investigational",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","euroqol; quality of life"
"NCT05781321","Short Course Radiotherapy for the Treatment of Patients With Glioblastoma, SAGA Study",2023,"PHASE2","Academic/Investigator-Initiated","US","ACTIVE_NOT_RECRUITING",170,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",1,"Secondary","bn20; eortc; qlq-bn20; qlq-c30; quality of life"
"NCT04587830","ADI-PEG 20 Plus Radiotherapy and Temozolomide in Subjects With Glioblastoma Multiforme",2020,"PHASE2","Industry","US","ACTIVE_NOT_RECRUITING",100,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00870181","ADV-TK Improves Outcome of Recurrent High-Grade Glioma",2008,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",47,"Surgical; Immunotherapy",0,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT07620548","Laser Interstitial Thermal Therapy (LiTT) With Cemiplimab or Other Chemotherapy in Recurrent Glioblastomas",2026,"PHASE2","Academic/Investigator-Initiated","US","NOT_YET_RECRUITING",99,"Surgical; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","bn20; eortc; health-related quality; hrqol; qlq bn20; qlq c30; quality of life"
"NCT00431561","Phase IIb Clinical Trial With TGF-β2 Antisense Compound AP 12009 for Recurrent or Refractory High-grade Glioma",2003,"PHASE2","Industry","US","COMPLETED",141,"Cytotoxic Chemotherapy",0,"No",FALSE,0,0,"None","None",1,"Secondary","quality of life"
"NCT02179086","Dose-Escalated Photon IMRT or Proton Beam Radiation Therapy Versus Standard-Dose Radiation Therapy and Temozolomide in Treating Patients With Newly Diagnosed Glioblastoma",2014,"PHASE2","Academic/Investigator-Initiated","US","ACTIVE_NOT_RECRUITING",606,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,1,1,"Secondary","controlled oral word; trail making",1,"Secondary","anderson symptom inventory; symptom inventory"
"NCT07021339","Anterior Temporal Lobectomy in Temporal Glioblastoma",2024,"PHASE3","Academic/Investigator-Initiated","US","RECRUITING",178,"Surgical",0,"Yes",FALSE,1,1,"Secondary","digit span",1,"Primary","bn20; eortc; qlq-c30; quality of life"
"NCT05318612","Effectiveness of MR-guided LITT Therapy in Irresectable Glioblastoma (EMITT)",2022,"PHASE3","Academic/Investigator-Initiated","US","ACTIVE_NOT_RECRUITING",238,"Surgical",0,"Yes",FALSE,0,0,"None","None",1,"Primary","bn20; qlq-c30; quality of life"
"NCT03722355","Hyperfractionated RT With BCNU Versus Conventional RT With BCNU for Supratentorial Malignant Glioma",1990,"PHASE3","Government/Cooperative Group","US","COMPLETED",712,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02684058","Study of Efficacy and Safety of Dabrafenib in Combination With Trametinib in Pediatric Patients With BRAF V600 Mutation Positive LGG or Relapsed or Refractory HGG Tumors",2017,"PHASE2","Industry","US","COMPLETED",151,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"No",TRUE,0,0,"None","None",1,"Secondary","promis; quality of life"
"NCT05100641","AV-GBM-1 vs Control as Adjunctive Therapy Following Surgery and RT/TMZ in Newly Diagnosed GBM",2024,"PHASE3","Industry","US","NOT_YET_RECRUITING",672,"Surgical; Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT03862430","A Study of NanO2™ Combined With Radiation and Temozolomide in Patients With Newly Diagnosed GBM",2023,"PHASE2","Industry","US","ACTIVE_NOT_RECRUITING",87,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",1,"Secondary","fact-br; quality of life"
"NCT01502241","Phase III Trial of Primary Radio- or Chemotherapy in Malignant Astrocytoma of the Elderly",2005,"PHASE3","Academic/Investigator-Initiated","US","COMPLETED",412,"Radiation; Cytotoxic Chemotherapy",1,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT00689221","Cilengitide, Temozolomide, and Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma and Methylated Gene Promoter Status",2008,"PHASE3","Industry","US","COMPLETED",545,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"Yes",FALSE,0,0,"None","None",1,"Secondary","bn20; eortc; eq-5d; euroqol; qlq-bn20; qlq-c30; quality of life"
"NCT06388733","A Study Comparing Niraparib With Temozolomide in Adult Participants With Newly-diagnosed, MGMT Unmethylated Glioblastoma",2024,"PHASE3","Academic/Investigator-Initiated","US","ACTIVE_NOT_RECRUITING",450,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"Yes",FALSE,1,1,"Secondary","controlled oral word; hopkins verbal; trail making; verbal fluency",1,"Secondary","bn20; eortc; eq-5d; health-related quality; hrqol; patient-reported outcome; qlq-bn20; qlq-c30; quality of life"
"NCT01765088","A Phase III Trial on Adjuvant Temozolomide With or Without Interferon-alpha in Newly Diagnosed High-grade Gliomas",2012,"PHASE3","Academic/Investigator-Initiated","US","UNKNOWN",300,"Cytotoxic Chemotherapy; Immunotherapy",0,"No",FALSE,0,0,"None","None",1,"Secondary","quality of life"
"NCT00916409","Effect of NovoTTF-100A Together With Temozolomide in Newly Diagnosed Glioblastoma Multiforme (GBM)",2009,"PHASE3","Industry","US","COMPLETED",700,"Cytotoxic Chemotherapy; Tumor Treating Fields",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02546102","Phase 3 Randomized, Double-blind, Controlled Study of ICT-107 in Glioblastoma",2024,"PHASE3","Industry","US","SUSPENDED",234,"Surgical; Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT05163080","SurVaxM Plus Adjuvant Temozolomide for Newly Diagnosed Glioblastoma (SURVIVE)",2021,"PHASE2","Industry","US","UNKNOWN",247,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01310855","Cediranib Maleate With or Without Gefitinib in Treating Patients With Recurrent or Progressive Glioblastoma",2011,"PHASE2","Academic/Investigator-Initiated","US","TERMINATED",38,"Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT03663725","Treatment Intensification With Temozolomide in Adults With a Glioblastoma",2019,"PHASE3","Academic/Investigator-Initiated","US","ACTIVE_NOT_RECRUITING",486,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00433381","Bevacizumab and Irinotecan or Temozolomide in Treating Patients With Recurrent or Refractory Glioblastoma Multiforme or Gliosarcoma",2007,"PHASE2","Government/Cooperative Group","US","COMPLETED",123,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01498328","A Study of Rindopepimut/GM-CSF in Patients With Relapsed EGFRvIII-Positive Glioblastoma",2011,"PHASE2","Industry","US","COMPLETED",127,"Targeted / Small Molecule; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01582269","A Study in Recurrent Glioblastoma (GB)",2012,"PHASE2","Industry","US","COMPLETED",158,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"Yes",FALSE,1,1,"Secondary","hopkins verbal; hvlt; hvlt-r",1,"Secondary","anderson symptom inventory; md anderson symptom; mdasi; symptom inventory"
"NCT04840069","Radiotherapy Planning Using Fluciclovine PET in Patients With Newly Diagnosed Glioblastoma",2021,"PHASE2","Academic/Investigator-Initiated","US","UNKNOWN",100,"Radiation",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT04396860","Testing the Use of the Immunotherapy Drugs Ipilimumab and Nivolumab Plus Radiation Therapy Compared to the Usual Treatment (Temozolomide and Radiation Therapy) for Newly Diagnosed MGMT Unmethylated Glioblastoma",2020,"PHASE2/PHASE3","Government/Cooperative Group","US","COMPLETED",159,"Radiation; Cytotoxic Chemotherapy; Tumor Treating Fields; Immunotherapy",1,"Yes",FALSE,1,0,"Secondary","Domain named, tool unspecified",1,"Secondary","anderson symptom inventory; md anderson symptom; mdasi; patient reported outcome; patient-reported outcome; symptom inventory"
"NCT00003788","Surgery, Radiation Therapy, and Chemotherapy With or Without Photodynamic Therapy in Treating Patients With Newly Diagnosed or Recurrent Malignant Supratentorial Gliomas",1998,"PHASE3","Academic/Investigator-Initiated","US","UNKNOWN",270,"Surgical; Radiation; Cytotoxic Chemotherapy",1,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT06330337","Effect of Electroacupuncture Combined With Paclitaxel Clinical Efficacy of Patients With Recurrence of High-grade Glioma",2024,"PHASE3","Academic/Investigator-Initiated","US","RECRUITING",58,"Cytotoxic Chemotherapy",0,"No",FALSE,0,0,"None","None",1,"Secondary","quality of life"
"NCT04888611","Neoadjuvant PD-1 Antibody Alone or Combined With DC Vaccines for Recurrent Glioblastoma",2021,"PHASE2","Academic/Investigator-Initiated","US","UNKNOWN",40,"Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT05879120","Randomized Study of Neo-adjuvant and Adjuvant Pembrolizumab With and Without Targeted Blood Brain Barrier Opening Using Exablate MRI-guided Focused Ultrasound (Exablate MRgFUS) for Recurrent Glioblastoma",2024,"PHASE2","Academic/Investigator-Initiated","US","WITHDRAWN",,"Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01149109","Efficacy and Safety Study of Lomustine/Temozolomide Combination Therapy vs. Standard Therapy for Glioblastoma Patients",2010,"PHASE3","Academic/Investigator-Initiated","US","COMPLETED",141,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","quality of life"
"NCT03025893","A Phase II/III Study of High-dose, Intermittent Sunitinib in Patients With Recurrent Glioblastoma Multiforme",2018,"PHASE2/PHASE3","Academic/Investigator-Initiated","US","UNKNOWN",100,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","eortc; health-related quality; hrqol; quality of life"
"NCT02060955","Randomized Phase 2 Study to Investigate Efficacy of ALECSAT in Patients With GBM Measured Compared to Avastin/Irinotecan",2014,"PHASE2","Industry","US","TERMINATED",25,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","eortc; quality of life"
"NCT06177964","Lerapolturev (PVSRIPO) in GBM",2024,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",92,"Cytotoxic Chemotherapy; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT07297212","A Clinical Trial Testing the Safety of the Investigational Drug Pumitamig (BNT327) and How Well it Works in Patients With Recurrent Glioblastoma",2026,"PHASE2","Industry","US","RECRUITING",75,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02206230","Trial of Hypofractionated Radiation Therapy for Glioblastoma",2014,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",133,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,1,1,"Secondary","mmse",1,"Secondary","bn20; eortc; health-related quality; qlq-bn20; qlq-c30"
"NCT05095376","Testing the Addition of the Chemotherapy Drug Lomustine (Gleostine) to the Usual Treatment (Temozolomide and Radiation Therapy) for Newly Diagnosed MGMT Methylated Glioblastoma",2022,"PHASE3","Academic/Investigator-Initiated","US","ACTIVE_NOT_RECRUITING",265,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",1,"Secondary","anderson symptom inventory; md anderson symptom; mdasi; patient reported outcome; symptom inventory"
"NCT04223999","Improving Tumor Treating Fields Treatment for Brain Cancer Patients With Skullremodeling Surgery (Neurosurgery)",2020,"PHASE2","Academic/Investigator-Initiated","US","UNKNOWN",70,"Surgical; Tumor Treating Fields",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","bn20; qlq-bn20; qlq-c30; quality of life"
"NCT07225621","Adjuvant Temozolomide ± 5-Aminolevulinic Acid + Low Intensity Diffuse Ultrasound Sonodynamic Therapy System for Newly Diagnosed Glioblastoma",2026,"PHASE2","Industry","US","RECRUITING",103,"Surgical; Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01252459","Amino-acid PET Versus MRI Guided Re-irradiation in Patients With Recurrent Glioblastoma Multiforme",2011,"PHASE2","Academic/Investigator-Initiated","US","UNKNOWN",200,"Radiation",1,"Yes",FALSE,0,0,"None","None",1,"Secondary","eortc; quality of life"
"NCT00238303","Vorinostat in Treating Patients With Progressive or Recurrent Glioblastoma Multiforme",2005,"PHASE2","Government/Cooperative Group","US","COMPLETED",103,"Surgical",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02337491","Pembrolizumab +/- Bevacizumab for Recurrent GBM",2015,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",80,"Targeted / Small Molecule; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT07347210","Evaluation of UCPVax Vaccine +/- Pembrolizumab Combined With Standard Treatment as Adjuvant Therapy in Patients With Unmethylated MGMT Glioblastoma",2026,"PHASE2","Academic/Investigator-Initiated","US","NOT_YET_RECRUITING",98,"Cytotoxic Chemotherapy; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","bn20; eortc; health-related quality; hrqol; qlqc30; quality of life"
"NCT03008148","Phase II/III Trial of CCRT With or Without JP001 for Newly Diagnosed GBM",2018,"PHASE2/PHASE3","Industry","US","UNKNOWN",288,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",1,"Secondary","bn20; eortc; qlq-bn20; qlq-c30"
"NCT02432417","The Addition of Chloroquine to Chemoradiation for Glioblastoma,",2023,"PHASE2","Academic/Investigator-Initiated","US","WITHDRAWN",,"Radiation",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02974621","Cediranib Maleate and Olaparib Compared to Bevacizumab in Treating Patients With Recurrent Glioblastoma",2017,"PHASE2","Government/Cooperative Group","US","ACTIVE_NOT_RECRUITING",70,"Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT05447195","Phase 2 Study of CAN008 in Subjects With GBM",2021,"PHASE2","Industry","US","UNKNOWN",117,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT05902169","Sonocloud-9 in Association With Carboplatin Versus Standard-of-Care Chemotherapies (CCNU or TMZ) in Recurrent GBM",2024,"PHASE3","Industry","US","RECRUITING",560,"Surgical; Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02511405","A Phase 3, Pivotal Trial of VB-111 Plus Bevacizumab vs. Bevacizumab in Patients With Recurrent Glioblastoma (GLOBE)",2015,"PHASE3","Industry","US","COMPLETED",252,"Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT04406272","VB-111 in Surgically Accessible Recurrent/Progressive GBM",2020,"PHASE2","Academic/Investigator-Initiated","US","TERMINATED",15,"Surgical; Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00093964","Cilengitide (EMD 121974) for Recurrent Glioblastoma Multiforme (Brain Tumor)",2004,"PHASE2","Industry","US","COMPLETED",81,"Targeted / Small Molecule",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT02977780","INdividualized Screening Trial of Innovative Glioblastoma Therapy (INSIGhT)",2017,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",460,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT06816927","Trial of Glioblastoma Immunotherapy Advancement With Nivolumab and Relatlimab",2025,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",92,"Radiation; Cytotoxic Chemotherapy; Immunotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT03688178","DC Migration Study to Evaluate TReg Depletion In GBM Patients With and Without Varlilumab",2020,"PHASE2","Academic/Investigator-Initiated","US","ACTIVE_NOT_RECRUITING",43,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00430911","Radiotherapy for Malignant Astrocytomas in the Elderly",2001,"PHASE3","Academic/Investigator-Initiated","US","COMPLETED",,"Radiation",1,"No",FALSE,1,0,"Secondary","Domain named, tool unspecified",1,"Secondary","quality of life"
"NCT06328036","Testing the Combination of Anti-cancer Drugs Tiragolumab and Atezolizumab to Improve Outcomes for Patients With Recurrent Glioblastoma",2025,"PHASE2","Government/Cooperative Group","US","WITHDRAWN",,"Surgical; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT07349693","Comparison of Cerebraca Wafer Plus Temozolomide Versus Temozolomide Alone in Recurrent Glioblastoma",2026,"PHASE2/PHASE3","Industry","US","NOT_YET_RECRUITING",175,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT04115761","Evaluate the Efficacy and Safety of ADCV01 As an Add-On Treatment for Primary Glioblastoma Multiforme (GBM) Patients",2019,"PHASE2","Industry","US","RECRUITING",24,"Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT04762069","A Study of Berubicin in Adult Subjects With Recurrent Glioblastoma Multiforme",2021,"PHASE2","Industry","US","ACTIVE_NOT_RECRUITING",252,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",1,"Exploratory","patient-reported outcome"
"NCT02715297","Adjuvant Stereotactic Fractionated Radiotherapy to the Resection Cavity in Recurrent Glioblastoma",2016,"PHASE2","Academic/Investigator-Initiated","US","UNKNOWN",162,"Surgical; Radiation",1,"Yes",FALSE,1,1,"Secondary","california verbal learning; cvlt; trail-making",1,"Secondary","eortc; qlq-c30; quality of life"
"NCT00923117","Sunitinib to Treat Recurrent Brain Cancer",2008,"PHASE2","Government/Cooperative Group","US","TERMINATED",87,"Targeted / Small Molecule",0,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT05904119","Lomustine With and Without Reirradiation for First Progression of Glioblastoma: a Randomized Phase III Study",2024,"PHASE3","Government/Cooperative Group","US","RECRUITING",411,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,1,1,"Secondary","mini mental; mmse",1,"Secondary","bn20; eortc; health-related quality; hrqol; qlq-bn20; qlq-c30; quality of life"
"NCT02209948","Temozolomide 12 Cycles Versus 6 Cycles of Standard First-line Treatment in Patients With Glioblastoma.",2014,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",166,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00003293","SU-101 Compared With Procarbazine in Treating Patients With Glioblastoma Multiforme",1998,"PHASE3","Industry","US","COMPLETED",,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01730950","Bevacizumab With or Without Radiation Therapy in Treating Patients With Recurrent Glioblastoma",2012,"PHASE2","Government/Cooperative Group","US","COMPLETED",182,"Radiation; Targeted / Small Molecule",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01390948","A Study of Bevacizumab (Avastin) in Combination With Temozolomide (TMZ) and Radiotherapy in Paediatric and Adolescent Participants With High-Grade Glioma",2011,"PHASE2","Industry","US","COMPLETED",124,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"No",TRUE,1,1,"Secondary","wechsler; wisc",0,"None","None"
"NCT04817254","Association of Peripheral Blood Immunologic Response to Therapeutic Response to Adjuvant Treatment With Immune Checkpoint Inhibition (ICI) in Patients With Newly Diagnosed Glioblastoma or Gliosarcoma",2021,"PHASE2","Government/Cooperative Group","US","COMPLETED",47,"Cytotoxic Chemotherapy; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",1,"Secondary","mdasi; patient reported outcome; quality of life"
"NCT02986178","Lerapolturev in Recurrent Malignant Glioma",2017,"PHASE2","Industry","US","COMPLETED",121,"Cytotoxic Chemotherapy; Immunotherapy",0,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT06496971","A Prospective Pivotal Study to Evaluate the Efficacy and Safety of Avastin® Bevacizumab (BEV) With or Without Microbubble-mediated Focused Ultrasound (FUS-MB) Using NaviFUS System in Recurrent Glioblastoma Multiforme Patients",2024,"PHASE3","Industry","US","RECRUITING",32,"Targeted / Small Molecule",0,"Yes",FALSE,1,1,"Secondary","mini-mental; mmse",1,"Secondary","bn20; eortc; health-related quality; qlq-bn20; qlq-c30; quality of life"
"NCT00335075","Efficacy and Safety of Temodal vs Semustine in Subjects With Recurrent Glioblastoma or Anaplastic Astrocytoma (Study P03644)",2005,"PHASE3","Industry","US","COMPLETED",151,"Cytotoxic Chemotherapy",0,"No",FALSE,0,0,"None","None",1,"Secondary","health-related quality; quality of life"
"NCT06356883","Intraarterial Carboplatin + Caelyx vs Intraarterial Carboplatin + Etoposide Phosphate for Progressing Glioblastoma",2025,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",120,"Cytotoxic Chemotherapy",0,"Yes",FALSE,1,1,"Secondary","moca; montreal cognitive",1,"Secondary","quality of life"
"NCT06448286","PH Weighted Chemical Exchange Saturation Transfer MRI-Based Surgical Resection to Improve Survival in Patients With Glioblastoma",2026,"PHASE3","Academic/Investigator-Initiated","US","NOT_YET_RECRUITING",60,"Surgical; Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",1,"Secondary","quality of life"
"NCT06936046","Enhanced Adjuvant Therapy for Newly Diagnosed GBM With Partial Surgical Resection or Short-term Progression",2025,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",200,"Surgical; Radiation",1,"Yes",FALSE,0,0,"None","None",1,"Secondary","eortc; qlq-c30; quality of life"
"NCT00884741","Temozolomide and Radiation Therapy With or Without Bevacizumab in Treating Patients With Newly Diagnosed Glioblastoma",2009,"PHASE3","Government/Cooperative Group","US","COMPLETED",637,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"Yes",FALSE,1,1,"Exploratory","controlled oral word; cowat; hopkins verbal; hvlt; hvlt-r; trail making",1,"Exploratory","anderson symptom inventory; eortc; mdasi; qlq-c30; quality of life; symptom inventory"
"NCT00807027","Clinical Trial to Assess the Efficacy and Safety of 'Immuncell-LC' With Temozolomide in Newly Diagnosed Glioblastoma of Korea",2008,"PHASE3","Industry","US","COMPLETED",180,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT03970447","A Trial to Evaluate Multiple Regimens in Newly Diagnosed and Recurrent Glioblastoma",2019,"PHASE2/PHASE3","Academic/Investigator-Initiated","US","RECRUITING",2250,"Radiation; Cytotoxic Chemotherapy; Targeted / Small Molecule",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT03018288","Radiation Therapy Plus Temozolomide and Pembrolizumab With and Without HSPPC-96 in Newly Diagnosed Glioblastoma (GBM)",2017,"PHASE2","Government/Cooperative Group","US","TERMINATED",90,"Surgical; Radiation; Cytotoxic Chemotherapy; Immunotherapy",1,"Yes",FALSE,0,0,"None","None",1,"Secondary","anderson symptom inventory; md anderson symptom; mdasi; symptom inventory"
"NCT01204684","Dendritic Cell Vaccine for Patients With Brain Tumors",2010,"PHASE2","Academic/Investigator-Initiated","US","COMPLETED",24,"Immunotherapy",0,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT06780592","Vebreltinib Combined With Temozolomide for Glioblastoma (GBM) After Surgery",2025,"PHASE2","Academic/Investigator-Initiated","US","NOT_YET_RECRUITING",60,"Surgical; Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT01507506","Phase III Study Comparing 2 Brain Conformational Radiotherapy in Combination With Chemotherapy in the Treatment of Glioblastoma",2011,"PHASE3","Academic/Investigator-Initiated","US","TERMINATED",180,"Radiation",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00068952","Study of IV Edotecarin Vs Temozolomide or Carmustine (BCNU) or Lomustine (CCNU) in Patients With Glioblastoma Multiforme",2003,"PHASE3","Industry","US","COMPLETED",118,"Cytotoxic Chemotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT07130149","Sonodynamic-Chemoradiotherapy Integration in Glioblastoma",2024,"PHASE2","Academic/Investigator-Initiated","US","ENROLLING_BY_INVITATION",230,"Radiation",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT04765514","Chemoradiotherapy Versus Chemotherapy for Elderly and Frail GBM Patients",2022,"PHASE2","Academic/Investigator-Initiated","US","RECRUITING",107,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,1,1,"Secondary","moca; montreal cognitive",1,"Secondary","bn20; eortc; qlq-bn20; qlq-c30; quality of life"
"NCT00114309","131-I-TM-601 Study in Adults With Recurrent High-Grade Glioma",2004,"PHASE2","Industry","US","UNKNOWN",66,"Targeted / Small Molecule",0,"No",FALSE,0,0,"None","None",1,"Secondary","quality of life"
"NCT04116411","A Clinical Trial Evaluating the Efficacy of Valganciclovir in Glioblastoma Patients",2019,"PHASE2","Academic/Investigator-Initiated","US","ACTIVE_NOT_RECRUITING",220,"Radiation; Cytotoxic Chemotherapy; Immunotherapy",1,"Yes",FALSE,1,1,"Secondary","mini mental; mmse",1,"Secondary","bn20; eortc; quality of life"
"NCT06556563","EF-41/KEYNOTE D58: Phase 3 Study of Optune Concomitant With Temozolomide Plus Pembrolizumab in Newly Diagnosed Glioblastoma",2025,"PHASE3","Industry","US","RECRUITING",741,"Cytotoxic Chemotherapy; Tumor Treating Fields; Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00967330","A Study of Avastin (Bevacizumab) and Irinotecan Versus Temozolomide Radiochemistry in Patients With Glioblastoma",2010,"PHASE2","Industry","US","COMPLETED",182,"Cytotoxic Chemotherapy; Targeted / Small Molecule",0,"Yes",FALSE,1,1,"Secondary","mini-mental; mmse",1,"Secondary","bn20; eortc; qlq-bn20; qlq-c30; quality of life"
"NCT06687681","Injection of Active Allogeneic Natural Killer Cells in Patients With Gliomas",2024,"PHASE2","Industry","US","RECRUITING",40,"Immunotherapy",0,"No",FALSE,0,0,"None","None",0,"None","None"
"NCT04277221","ADCTA for Adjuvant Immunotherapy in Standard Treatment of Recurrent Glioblastoma Multiforme (GBM)",2019,"PHASE3","Industry","US","UNKNOWN",118,"Immunotherapy",0,"Yes",FALSE,0,0,"None","None",0,"None","None"
"NCT00482677","Radiation Therapy With or Without Temozolomide in Treating Older Patients With Newly Diagnosed Glioblastoma Multiforme",2007,"PHASE3","Government/Cooperative Group","US","COMPLETED",562,"Radiation; Cytotoxic Chemotherapy",1,"Yes",FALSE,0,0,"None","None",0,"None","None"
