NCT,NCO,HRQoL,Phase,Sponsor_Class,Registration_Year,Radiation,Registry_Source,Strict_GBM_Only
NCT04600817,0,0,PHASE2,Industry,2020,1,US,Yes
NCT03243851,0,1,PHASE2,Academic/Investigator-Initiated,2016,0,US,Yes
NCT00777153,0,0,PHASE3,Industry,2008,0,US,Yes
NCT01860638,1,1,PHASE2,Industry,2013,1,US,Yes
NCT03741244,0,0,PHASE2,Academic/Investigator-Initiated,2019,0,US,No
NCT03452579,0,0,PHASE2,Academic/Investigator-Initiated,2018,0,US,Yes
NCT00112866,0,0,PHASE2,Government/Cooperative Group,2005,0,US,Yes
NCT02678975,0,1,PHASE2/PHASE3,Academic/Investigator-Initiated,2017,0,US,Yes
NCT05781321,0,1,PHASE2,Academic/Investigator-Initiated,2023,1,US,Yes
NCT04587830,0,0,PHASE2,Industry,2020,1,US,Yes
NCT00870181,0,0,PHASE2,Academic/Investigator-Initiated,2008,0,US,No
NCT07620548,0,1,PHASE2,Academic/Investigator-Initiated,2026,0,US,Yes
NCT00431561,0,1,PHASE2,Industry,2003,0,US,No
NCT02179086,1,1,PHASE2,Academic/Investigator-Initiated,2014,1,US,Yes
NCT07021339,1,1,PHASE3,Academic/Investigator-Initiated,2024,0,US,Yes
NCT05318612,0,1,PHASE3,Academic/Investigator-Initiated,2022,0,US,Yes
NCT03722355,0,0,PHASE3,Government/Cooperative Group,1990,1,US,Yes
NCT02684058,0,1,PHASE2,Industry,2017,0,US,No
NCT05100641,0,0,PHASE3,Industry,2024,1,US,Yes
NCT03862430,0,1,PHASE2,Industry,2023,1,US,Yes
NCT01502241,0,0,PHASE3,Academic/Investigator-Initiated,2005,1,US,No
NCT00689221,0,1,PHASE3,Industry,2008,1,US,Yes
NCT06388733,1,1,PHASE3,Academic/Investigator-Initiated,2024,0,US,Yes
NCT01765088,0,1,PHASE3,Academic/Investigator-Initiated,2012,0,US,No
NCT00916409,0,0,PHASE3,Industry,2009,0,US,Yes
NCT02546102,0,0,PHASE3,Industry,2024,1,US,Yes
NCT05163080,0,0,PHASE2,Industry,2021,0,US,Yes
NCT01310855,0,0,PHASE2,Academic/Investigator-Initiated,2011,0,US,Yes
NCT03663725,0,0,PHASE3,Academic/Investigator-Initiated,2019,0,US,Yes
NCT00433381,0,0,PHASE2,Government/Cooperative Group,2007,0,US,Yes
NCT01498328,0,0,PHASE2,Industry,2011,0,US,Yes
NCT01582269,1,1,PHASE2,Industry,2012,0,US,Yes
NCT04840069,0,0,PHASE2,Academic/Investigator-Initiated,2021,1,US,Yes
NCT04396860,1,1,PHASE2/PHASE3,Government/Cooperative Group,2020,1,US,Yes
NCT00003788,0,0,PHASE3,Academic/Investigator-Initiated,1998,1,US,No
NCT06330337,0,1,PHASE3,Academic/Investigator-Initiated,2024,0,US,No
NCT04888611,0,0,PHASE2,Academic/Investigator-Initiated,2021,0,US,Yes
NCT05879120,0,0,PHASE2,Academic/Investigator-Initiated,2024,0,US,Yes
NCT01149109,0,1,PHASE3,Academic/Investigator-Initiated,2010,0,US,Yes
NCT03025893,0,1,PHASE2/PHASE3,Academic/Investigator-Initiated,2018,0,US,Yes
NCT02060955,0,1,PHASE2,Industry,2014,0,US,Yes
NCT06177964,0,0,PHASE2,Academic/Investigator-Initiated,2024,0,US,Yes
NCT07297212,0,0,PHASE2,Industry,2026,0,US,Yes
NCT02206230,1,1,PHASE2,Academic/Investigator-Initiated,2014,1,US,Yes
NCT05095376,0,1,PHASE3,Academic/Investigator-Initiated,2022,1,US,Yes
NCT04223999,0,1,PHASE2,Academic/Investigator-Initiated,2020,0,US,Yes
NCT07225621,0,0,PHASE2,Industry,2026,1,US,Yes
NCT01252459,0,1,PHASE2,Academic/Investigator-Initiated,2011,1,US,Yes
NCT00238303,0,0,PHASE2,Government/Cooperative Group,2005,0,US,Yes
NCT02337491,0,0,PHASE2,Academic/Investigator-Initiated,2015,0,US,Yes
NCT07347210,0,1,PHASE2,Academic/Investigator-Initiated,2026,0,US,Yes
NCT03008148,0,1,PHASE2/PHASE3,Industry,2018,1,US,Yes
NCT02432417,0,0,PHASE2,Academic/Investigator-Initiated,2023,1,US,Yes
NCT02974621,0,0,PHASE2,Government/Cooperative Group,2017,0,US,Yes
NCT05447195,0,0,PHASE2,Industry,2021,1,US,Yes
NCT05902169,0,0,PHASE3,Industry,2024,0,US,Yes
NCT02511405,0,0,PHASE3,Industry,2015,0,US,Yes
NCT04406272,0,0,PHASE2,Academic/Investigator-Initiated,2020,0,US,Yes
NCT00093964,0,0,PHASE2,Industry,2004,0,US,Yes
NCT02977780,0,0,PHASE2,Academic/Investigator-Initiated,2017,0,US,Yes
